,container,first_date,first_location,first_status,last_date,last_location,last_status
30,HLXU1311647,2019-04-03 10:49:00,CALLAO,Gate out empty,2019-04-15 15:30:00,GUAYAQUIL,Vessel arrival
31,HLXU1399849,2019-04-04 11:15:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
32,HLXU1401442,2019-04-05 12:40:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
33,HLXU3126519,2019-04-19 11:30:00,CALLAO,Loading,2019-06-08 06:00:00,BUSAN,Discharge
34,HLXU3346030,2019-04-05 08:36:00,CALLAO,Gate out empty,2019-04-25 07:00:00,"NEW YORK, NY",Vessel arrival
35,TEMU2345748,2019-04-05 12:58:00,CALLAO,Gate out empty,2019-05-24 00:00:00,HUANGPU,Discharge
36,UACU3598064,2019-04-10 11:34:00,CALLAO,Gate out empty,2019-06-08 06:00:00,BUSAN,Vessel arrival
37,UACU3667545,2019-04-06 13:27:00,CALLAO,Gate out empty,2019-05-07 07:00:00,ROTTERDAM,Vessel arrival
38,UACU3670282,2019-04-10 12:45:00,CALLAO,Gate out empty,2019-04-30 23:01:00,GUAYAQUIL,Vessel arrival
39,UACU4064459,2019-04-04 11:38:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
40,UACU4091388,2019-04-02 19:51:00,CALLAO,Gate out empty,2019-04-26 19:00:00,BARRANQUILLA,Vessel arrival
41,CPSU1767176,2019-04-08 14:17:00,CALLAO,Gate out empty,2019-05-11 06:00:00,HAMBURG,Vessel arrival
42,HLBU1030030,2019-04-11 17:23:00,CALLAO,Gate out empty,2019-05-21 00:00:00,KOBE,Discharge
43,UACU3938354,2019-04-12 14:52:00,CALLAO,Arrival in,2019-04-21 00:30:00,IQUIQUE,Vessel arrival
44,UACU4009831,2019-04-12 14:49:00,CALLAO,Arrival in,2019-04-21 00:30:00,IQUIQUE,Vessel arrival
45,HAMU1129506,2019-04-04 16:21:00,CALLAO,Gate out empty,2019-04-30 02:00:00,ALGECIRAS,Vessel arrival
46,UACU3881639,2019-04-10 11:28:00,CALLAO,Gate out empty,2019-05-15 22:00:00,LE HAVRE,Vessel arrival
47,HLBU2325859,2019-04-04 12:18:00,CALLAO,Gate out empty,2019-05-17 00:00:00,LIANYUNGANG,Discharge
48,HLBU1051394,2019-04-01 17:55:00,CALLAO,Gate out empty,2019-05-04 22:00:00,"MAZATLAN, SIN",Vessel arrival
49,HLBU1562265,2019-04-02 14:49:00,CALLAO,Gate out empty,2019-04-15 15:30:00,GUAYAQUIL,Vessel arrival
