container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
HLXU6513996,2,32.65208333333333,2019-02-27 09:30:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-04-01 01:09:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU8360999,2,32.50763888888889,2019-02-27 10:10:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-03-31 22:21:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU5370289,2,46.99236111111111,2019-02-28 16:58:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-16 16:47:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU3620780,2,37.986805555555556,2019-02-26 17:33:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-05 17:14:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
GATU8792829,2,53.56597222222222,2019-02-04 15:30:00,Gate out empty,1,"SUZANO, SP",-23.5427842,-46.3108391,2,2019-03-30 05:05:00,Discharged,7,CALLAO,-12.066667,-77.15,1
HLBU2096942,2,55.60347222222222,2019-02-02 03:00:00,Gate out empty,1,"SUZANO, SP",-23.5427842,-46.3108391,2,2019-03-29 17:29:00,Discharged,7,CALLAO,-12.066667,-77.15,1
HLXU6390124,2,55.96944444444444,2019-02-01 19:00:00,Gate out empty,1,"SUZANO, SP",-23.5427842,-46.3108391,2,2019-03-29 18:16:00,Discharged,7,CALLAO,-12.066667,-77.15,1
HLXU8013808,2,55.59166666666667,2019-02-02 15:30:00,Gate out empty,1,"SUZANO, SP",-23.5427842,-46.3108391,2,2019-03-30 05:42:00,Discharged,7,CALLAO,-12.066667,-77.15,1
HLXU8058150,2,55.49583333333333,2019-02-02 06:00:00,Gate out empty,1,"SUZANO, SP",-23.5427842,-46.3108391,2,2019-03-29 17:54:00,Discharged,7,CALLAO,-12.066667,-77.15,1
TGHU6233732,2,55.24305555555556,2019-02-02 12:00:00,Gate out empty,1,"SUZANO, SP",-23.5427842,-46.3108391,2,2019-03-29 17:50:00,Discharged,7,CALLAO,-12.066667,-77.15,1
HLXU5220571,2,24.088194444444444,2019-03-07 11:53:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-03-31 14:00:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU5293900,2,24.988888888888887,2019-03-06 09:33:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-03-31 09:17:00,Departure from,8,CALLAO,-12.066667,-77.15,2
UACU5231680,2,47.26875,2019-02-23 07:21:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-04-11 13:48:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
CPSU5113091,2,42.37708333333333,2019-02-22 23:00:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-06 08:03:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU1248444,2,36.71319444444445,2019-03-06 15:44:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-12 08:51:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU1405158,2,36.68611111111111,2019-03-06 15:54:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-12 08:22:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU5174440,2,36.67986111111111,2019-03-06 15:56:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-12 08:15:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU5179966,2,36.67638888888889,2019-03-06 16:01:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-12 08:15:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU5269550,2,37.011805555555554,2019-03-06 16:03:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-12 16:20:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU8397801,2,67.23194444444445,2019-02-08 11:59:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-16 17:33:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
AMFU8944398,2,20.48125,2019-03-11 09:06:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-03-31 20:39:00,Departure from,8,CALLAO,-12.066667,-77.15,2
UACU5297769,2,42.27708333333333,2019-02-27 08:15:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-04-10 14:54:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU2235924,2,33.58888888888889,2019-02-26 15:26:00,Gate out empty,1,"ITAJAI, SC",-26.9117879,-48.6669852,2,2019-04-01 05:34:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU5028506,2,36.94375,2019-02-25 15:37:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-03 14:16:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU5016017,2,31.490277777777777,2019-03-01 03:44:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-01 15:30:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU8480496,2,37.12986111111111,2019-03-06 09:15:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-12 12:22:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU1581619,2,43.11527777777778,2019-02-27 14:47:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-11 17:33:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU8228909,2,46.984027777777776,2019-02-27 14:47:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-15 14:24:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU5776890,2,47.80416666666667,2019-02-27 14:47:00,Gate out empty,1,RIO DE JANEIRO,-22.9110137,-43.2093727,2,2019-04-16 10:05:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU3442841,2,22.48472222222222,2019-03-08 11:03:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-03-30 22:41:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLBU1523973,2,33.80833333333333,2019-02-27 17:21:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-02 12:45:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU5238755,2,33.87847222222222,2019-02-27 17:20:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-02 14:25:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
GATU8794565,2,49.25763888888889,2019-02-27 08:51:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-04-17 15:02:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLXU6485908,2,32.30555555555556,2019-02-27 10:30:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-03-31 17:50:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU8574389,2,32.642361111111114,2019-02-27 10:01:00,Gate out empty,1,ITAPOA,-26.1162431,-48.6180177,2,2019-04-01 01:26:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU8400690,2,25.280555555555555,2019-03-06 14:01:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-03-31 20:45:00,Departure from,8,CALLAO,-12.066667,-77.15,2
TGBU5834280,2,25.292361111111113,2019-03-06 13:54:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-03-31 20:55:00,Departure from,8,CALLAO,-12.066667,-77.15,2
HLXU6357070,2,50.072916666666664,2019-02-21 13:49:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-12 15:34:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
TGBU6167602,2,49.06875,2019-02-21 13:49:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-11 15:28:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU5697214,2,50.06111111111111,2019-02-21 13:49:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-12 15:17:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
UACU8512839,2,36.09791666666667,2019-02-25 14:45:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-02 17:06:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU8013987,2,41.82361111111111,2019-03-01 20:44:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-12 16:30:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
HLBU8063709,2,41.860416666666666,2019-03-01 20:37:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-12 17:16:00,Gate in empty,0,CALLAO,-12.066667,-77.15,2
