container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
HLBU9231828,5,2019-03-23 11:39:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLXU8779291,5,2019-03-23 16:40:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9246598,5,2019-03-23 22:48:00,SAN ANTONIO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
CPSU5144301,5,2019-03-25 13:37:00,SAN ANTONIO,Gate out empty,2019-04-27 06:00:00,HAMBURG,Vessel arrival
HLBU9156806,8,2019-03-26 16:41:00,SAN ANTONIO,Gate out empty,2019-04-21 18:00:00,"SAN JUAN, PUERTO RICO",Vessel arrival
HLBU9074272,5,2019-03-25 17:46:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
FSCU7166950,11,2019-03-13 11:57:00,SAN ANTONIO,Gate out empty,2019-05-08 15:00:00,"VANCOUVER, BC",Vessel arrival
FSCU4739169,6,2019-03-14 17:09:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 22:06:00,ROTTERDAM,Discharge
HLBU1128027,5,2019-03-14 12:30:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLBU1192746,5,2019-03-14 16:49:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLBU1396919,5,2019-03-15 08:38:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLBU1791472,5,2019-03-14 13:48:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLBU1795544,5,2019-03-14 09:40:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLXU5290964,5,2019-03-15 08:32:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8230990,5,2019-03-14 18:29:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8443152,5,2019-03-14 16:33:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8499491,5,2019-03-14 11:15:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU4787695,5,2019-03-26 01:22:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9129499,7,2019-03-21 10:33:00,SAN ANTONIO,Gate out empty,2019-05-02 00:00:00,COPENHAGEN,Vessel arrival
HLXU3278450,8,2019-03-12 12:07:00,VALPARAISO,Gate out empty,2019-04-21 18:00:00,"SAN JUAN, PUERTO RICO",Vessel arrival
HLXU3171230,7,2019-03-22 00:15:00,PUERTO ANGAMOS,Gate out empty,2019-04-25 00:00:00,ROTTERDAM,Arrival in
HLXU8390139,5,2019-03-16 10:26:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU8479242,9,2019-03-15 09:24:00,VALPARAISO,Gate out empty,2019-04-20 08:00:00,"NORFOLK, VA",Vessel arrival
HLBU9024604,5,2019-03-25 17:44:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
UACU5818954,9,2019-03-15 08:50:00,SANTIAGO DE CHILE,Gate out empty,2019-04-28 00:00:00,"DUBLIN, IRELAND",Vessel arrival
HLXU6477142,9,2019-03-21 16:50:00,ANTOFAGASTA,Gate out empty,2019-04-20 17:00:00,"CHARLESTON, SC",Vessel arrival
HLXU8199478,9,2019-03-21 15:29:00,ANTOFAGASTA,Gate out empty,2019-04-20 17:00:00,"CHARLESTON, SC",Vessel arrival
HLXU8302570,9,2019-03-21 15:39:00,ANTOFAGASTA,Gate out empty,2019-04-20 17:00:00,"CHARLESTON, SC",Vessel arrival
CLHU4773823,5,2019-03-19 17:22:00,SAN ANTONIO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9224583,5,2019-03-26 01:32:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9083119,5,2019-03-25 15:58:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
TGHU1215340,9,2019-03-15 18:08:00,SANTIAGO DE CHILE,Gate out empty,2019-04-29 07:00:00,"BELFAST, NORTHERN IRELAND",Vessel arrival
HLBU1216684,8,2019-03-25 16:22:00,VALPARAISO,Gate out empty,2019-05-11 02:00:00,BARCELONA,Vessel arrival
HLXU3523650,7,2019-03-25 16:58:00,VALPARAISO,Gate out empty,2019-05-11 02:00:00,BARCELONA,Vessel arrival
